Postal Code,Latitude,Longitude
75001,48.86000,2.34111
75005,48.84722,2.34444
75006,48.8505306,2.3322333
75007,48.85917,2.31278
75008,48.87417,2.31111
75009,48.8782806,2.3369667
75010,48.8755083,2.3578528
75011,48.8586778,2.3793056
75012,48.8408083,2.3881833
75013,48.83222,2.35556
75014,48.8330222,2.3268889
75015,48.8413278,2.3002917
75016,48.8636111,2.2764889
75017,48.8822444,2.3078389
75018,48.8921500,2.3444472
75019,48.8823500,2.3818222
75020,48.8650611,2.3990500
